t        CFL_adv    |du|       |dv|       |du/dt|    |dv/dt|    k      |dp|
0.0245   2.2566e-02 5.2194e-03 2.3014e-02 1.0439e+01 4.6028e+01 99999  2.9617e-05
0.0250   2.2676e-02 5.1452e-03 2.2983e-02 1.0290e+01 4.5966e+01 99999  2.9139e-05
0.0255   2.2783e-02 5.0709e-03 2.2954e-02 1.0142e+01 4.5908e+01 99999  2.8679e-05
0.0260   2.2886e-02 4.9966e-03 2.2926e-02 9.9933e+00 4.5852e+01 99999  2.8235e-05
0.0265   2.2986e-02 4.9227e-03 2.2899e-02 9.8454e+00 4.5799e+01 99999  2.7807e-05
0.0270   2.3082e-02 4.8491e-03 2.2874e-02 9.6982e+00 4.5748e+01 99999  2.7394e-05
0.0275   2.3176e-02 4.7761e-03 2.2850e-02 9.5522e+00 4.5699e+01 99999  2.6995e-05
0.0280   2.3267e-02 4.7037e-03 2.2827e-02 9.4073e+00 4.5653e+01 99999  2.6609e-05
0.0285   2.3355e-02 4.6320e-03 2.2804e-02 9.2639e+00 4.5609e+01 99999  2.6236e-05
0.0290   2.3441e-02 4.5611e-03 2.2783e-02 9.1221e+00 4.5566e+01 99999  2.5875e-05
0.0295   2.3524e-02 4.4910e-03 2.2763e-02 8.9820e+00 4.5526e+01 99999  2.5525e-05
0.0300   2.3605e-02 4.4218e-03 2.2743e-02 8.8437e+00 4.5487e+01 99999  2.5186e-05
0.0305   2.3683e-02 4.3536e-03 2.2725e-02 8.7073e+00 4.5449e+01 99999  2.4857e-05
0.0310   2.3759e-02 4.2864e-03 2.2707e-02 8.5729e+00 4.5414e+01 99999  2.4538e-05
0.0315   2.3834e-02 4.2203e-03 2.2690e-02 8.4405e+00 4.5379e+01 99999  2.4228e-05
0.0320   2.3906e-02 4.1551e-03 2.2673e-02 8.3102e+00 4.5346e+01 99999  2.3928e-05
0.0325   2.3976e-02 4.0911e-03 2.2657e-02 8.1821e+00 4.5314e+01 99999  2.3635e-05
0.0330   2.4045e-02 4.0281e-03 2.2642e-02 8.0561e+00 4.5284e+01 99999  2.3351e-05
0.0335   2.4112e-02 3.9662e-03 2.2627e-02 7.9323e+00 4.5254e+01 99999  2.3075e-05
0.0340   2.4177e-02 3.9054e-03 2.2613e-02 7.8107e+00 4.5226e+01 99999  2.2806e-05
