trial,N,Re,U,t,tau,MAE,Time
1,128,100,0.1,51068,0.881,0.0,189.2487919330597
2,64,100,0.1,27016,0.6890000000000001,0.04270085075535509,27.01009726524353
3,32,100,0.1,14477,0.593,0.13294444440316422,6.023184299468994
4,16,100,0.1,7869,0.545,0.31680571141652764,1.986917495727539
