N, Method, Iterations, Time (seconds), Error (MAE), Alpha, h
161, jacobi, 85874, 1836.669027, 1.014863e-03, 1.0, 0.00625
81, jacobi, 20000, 108.256591, 2.052244e-03, 1.0, 0.0125
41, jacobi, 4625, 5.848053, 4.204085e-03, 1.0, 0.025
21, jacobi, 1058, 0.322084, 8.865785e-03, 1.0, 0.05
11, jacobi, 237, 0.017555, 1.983038e-02, 1.0, 0.1
