N, Method, Iterations, Time (seconds), Error (MAE), Alpha, h
161, jacobi, 100000, 2175.771071, 1.335437e-03, 1.0, 0.00625
81, jacobi, 24015, 131.678452, 2.692009e-03, 1.0, 0.0125
41, jacobi, 5549, 6.992006, 5.466628e-03, 1.0, 0.025
21, jacobi, 1271, 0.386774, 1.124218e-02, 1.0, 0.05
11, jacobi, 288, 0.021268, 2.348063e-02, 1.0, 0.1
