trial,N,dt,Re,alpha,t,h,MAE,Time
1,33,0.001,400,1.5,51.59999999997044,0.007751937984496124,0.0,199.19373393058777
2,65,0.001,400,1.5,50.49999999997301,0.007751937984496124,0.0,1053.624871969223
3,129,0.0005,400,1.5,50.14500000005741,0.007751937984496124,0.0,15466.398865938187
