trial,Nx,Ny,L,dt,a,Re,epsilon,plot_x
1,50,20,2.5,1e-3,2,20,1e-4,2.5
2,50,20,2.5,1e-3,2,20,1e-4,1.25
3,50,20,2.5,1e-3,2,20,1e-4,0.625
4,50,20,2.5,1e-3,2,20,1e-4,0.3125
5,50,20,2.5,1e-3,2,20,1e-4,0.15625
