trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,401,1,0.01,40,10,0.001,crank-nicolson,0.1,0.01,0.0009999999999999998,0.002616718882568871,7.597323656082153
2,801,1,0.01,40,10,0.001,crank-nicolson,0.05,0.02,0.003999999999999999,0.0006586842620188624,15.498810768127441
3,1601,1,0.01,40,10,0.001,crank-nicolson,0.025,0.04,0.015999999999999997,0.00016488976497471393,31.413487911224365
4,3201,1,0.01,40,10,0.001,crank-nicolson,0.0125,0.08,0.06399999999999999,4.133807819650772e-05,63.492130517959595
5,6401,1,0.01,40,10,0.001,crank-nicolson,0.00625,0.16,0.25599999999999995,1.0434909004830522e-05,126.79315233230591
