trial,Nx,Ny,L,dt,a,Re,epsilon,plot_x,k,t,dx,dy,CFL_ac,Le,MAE,Time
1,10,20,0.5,0.001,2,20,0.0001,0.5,12959,12.958999999998257,0.05,0.05,0.04,None,0.09334482890004359,0.6969120502471924
2,20,20,1.0,0.001,2,20,0.0001,1.0,18175,18.17499999999923,0.05,0.05,0.04,None,0.013392943291723903,1.0685138702392578
3,30,20,1.5,0.001,2,20,0.0001,1.5,26435,26.435000000009325,0.05,0.05,0.04,None,0.0030950589257404725,1.7333106994628906
4,30,20,2.0,0.001,2,20,0.0001,2.0,33870,33.870000000011764,0.06666666666666667,0.05,0.04,1.6333333333333333,0.0016148796993813608,2.2181999683380127
5,30,20,2.5,0.001,2,20,0.0001,2.5,40308,40.30799999999676,0.08333333333333333,0.05,0.04,1.6249999999999998,0.0012240642891975183,2.6554107666015625
