Q1, Q0, Error (MAE), Time (seconds), Iterations
0.0, 0.0, 3.643543819292772e-08, 0.00029015541076660156, 5
0.1, 0.0, 8.908823920933396e-09, 0.0002110004425048828, 6
0.0, 0.1, 1.2682877916642132e-08, 0.00018143653869628906, 6
