trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,101,1,0.01,40,10,0.001,crank-nicolson,0.4,0.0025,6.249999999999999e-05,0.03240066707201852,1.876185417175293
2,201,1,0.01,40,10,0.001,crank-nicolson,0.2,0.005,0.00024999999999999995,0.010449451656221857,3.791492462158203
3,401,1,0.01,40,10,0.001,crank-nicolson,0.1,0.01,0.0009999999999999998,0.002616718882568871,7.641957759857178
4,801,1,0.01,40,10,0.001,crank-nicolson,0.05,0.02,0.003999999999999999,0.0006586842620188624,15.593053817749023
5,1601,1,0.01,40,10,0.001,crank-nicolson,0.025,0.04,0.015999999999999997,0.00016488976497471393,31.475385665893555
