trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,101,1,0.01,40,10,0.001,explicit,0.4,0.0025,6.249999999999999e-05,0.033124324783035085,1.0716211795806885
2,201,1,0.01,40,10,0.001,explicit,0.2,0.005,0.00024999999999999995,0.01076918135585499,2.1437580585479736
3,401,1,0.01,40,10,0.001,explicit,0.1,0.01,0.0009999999999999998,0.0026940199126897976,4.374708652496338
4,801,1,0.01,40,10,0.001,explicit,0.05,0.02,0.003999999999999999,0.000787393826018006,8.87020754814148
5,1601,1,0.01,40,10,0.001,explicit,0.025,0.04,0.015999999999999997,0.0004835383366243722,18.27732801437378
