trial,N,U,G,tf,ti,dt,scheme
1,101,1,0.01,40,10,0.001,crank-nicolson
2,201,1,0.01,40,10,0.001,crank-nicolson
3,401,1,0.01,40,10,0.001,crank-nicolson
4,801,1,0.01,40,10,0.001,crank-nicolson
5,1601,1,0.01,40,10,0.001,crank-nicolson
