trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,101,1,0.01,40,10,0.001,implicit,0.4,0.0025,6.249999999999999e-05,0.031711430733493834,1.0642950534820557
2,201,1,0.01,40,10,0.001,implicit,0.2,0.005,0.00024999999999999995,0.010182350971534642,2.1140859127044678
3,401,1,0.01,40,10,0.001,implicit,0.1,0.01,0.0009999999999999998,0.0026016549691913263,4.319492340087891
4,801,1,0.01,40,10,0.001,implicit,0.05,0.02,0.003999999999999999,0.0007723841714685272,8.88264012336731
5,1601,1,0.01,40,10,0.001,implicit,0.025,0.04,0.015999999999999997,0.00047144128221399096,18.60614252090454
