trial,Nx,Ny,L,dt,a,Re,epsilon,plot_x,k,t,dx,dy,CFL_ac,Le,MAE,Time
1,400,20,20,0.001,2,50,0.0001,20,226248,226.24800000071625,0.05,0.05,0.04,3.025,0.0019750946925394864,52.82303762435913
2,400,20,20,0.001,2,100,0.0001,20,261346,261.34600000073186,0.05,0.05,0.04,4.874999999999999,0.002127500141165474,60.408125162124634
3,400,20,20,0.001,2,200,0.0001,20,308342,308.34199999962055,0.05,0.05,0.04,7.624999999999999,0.0022721502284784173,72.54597926139832
4,400,20,20,0.001,2,300,0.001,20,356950,356.9499999984711,0.05,0.05,0.04,9.674999999999999,0.0030875352207289848,82.62565445899963
5,400,20,20,0.001,2,400,0.01,20,333839,333.83899999901763,0.05,0.05,0.04,11.325,0.006578696227247239,77.87596154212952
6,400,20,20,0.001,2,500,0.01,20,350752,350.7519999986177,0.05,0.05,0.04,12.575,0.011976622216457665,77.94281601905823
