N, Method, Iterations, Time (seconds), Error (MAE), Alpha, h
11, jacobi, 288, 0.020807, 2.348063e-02, 1.0, 0.1
21, jacobi, 1271, 0.380525, 1.124218e-02, 1.0, 0.05
41, jacobi, 5549, 6.852662, 5.466628e-03, 1.0, 0.025
81, jacobi, 24015, 126.881281, 2.692009e-03, 1.0, 0.00125
161, jacobi, 100000, 2104.172802, 1.335437e-03, 1.0, 0.000625
