N, Method, Iterations, Time (seconds), Error (MAE), Alpha, h
11, multi-grid, 27, 0.006395, 2.343475e-02, 1.0, 0.1
21, multi-grid, 58, 0.107721, 1.122785e-02, 1.0, 0.05
41, multi-grid, 123, 2.839895, 5.460656e-03, 1.0, 0.025
81, multi-grid, 269, 86.557196, 2.689617e-03, 1.0, 0.0125
161, multi-grid, 589, 1628.321406, 1.334449e-03, 1.0, 0.00625
