N, Method, Iterations, Time (seconds), Error (MAE), Alpha, h
11, sor, 80, 0.006888, 2.347336e-02, 1.92, 0.1
21, sor, 110, 0.039088, 1.123989e-02, 1.92, 0.05
41, sor, 144, 0.210879, 5.464540e-03, 1.92, 0.025
81, sor, 603, 3.786900, 2.691033e-03, 1.92, 0.00125
161, sor, 2406, 59.537427, 1.335082e-03, 1.92, 0.000625
