trial,N,dt,Re,alpha,t,h,MAE,Time
1,33,0.001,100,1.5,22.088000000004012,0.007751937984496124,0.0,105.2857449054718
2,65,0.001,100,1.5,22.08500000000401,0.007751937984496124,0.0,576.6867799758911
3,129,0.0005,100,1.5,22.064499999993927,0.007751937984496124,0.0,8521.711396217346
