trial,N,U,G,tf,ti,dt,scheme
1,801,1,0.01,40,10,0.0125,crank-nicolson
2,801,1,0.01,40,10,0.00625,crank-nicolson
3,801,1,0.01,40,10,0.003125,crank-nicolson
4,801,1,0.01,40,10,0.0015625,crank-nicolson
5,801,1,0.01,40,10,0.00078125,crank-nicolson
