trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,801,1,0.01,40,10,0.0125,crank-nicolson,0.05,0.25,0.04999999999999999,0.0006790718485918688,1.242427110671997
2,801,1,0.01,40,10,0.00625,crank-nicolson,0.05,0.125,0.024999999999999994,0.0006636826962772315,2.496579170227051
3,801,1,0.01,40,10,0.003125,crank-nicolson,0.05,0.0625,0.012499999999999997,0.0006598353804942441,4.991198778152466
4,801,1,0.01,40,10,0.0015625,crank-nicolson,0.05,0.03125,0.006249999999999999,0.0006588735502635477,9.989176273345947
5,801,1,0.01,40,10,0.00078125,crank-nicolson,0.05,0.015625,0.0031249999999999993,0.0006586330926312597,20.115973234176636
