trial,N,U,G,tf,ti,dt,scheme
1,801,1,0.01,40,10,0.0125,explicit
2,801,1,0.01,40,10,0.00625,explicit
3,801,1,0.01,40,10,0.003125,explicit
4,801,1,0.01,40,10,0.0015625,explicit
5,801,1,0.01,40,10,0.00078125,explicit
