trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,801,1,0.01,40,10,0.0125,explicit,0.05,0.25,0.04999999999999999,0.007600364792490994,0.7227625846862793
2,801,1,0.01,40,10,0.00625,explicit,0.05,0.125,0.024999999999999994,0.0032828535180545646,1.464465618133545
3,801,1,0.01,40,10,0.003125,explicit,0.05,0.0625,0.012499999999999997,0.0016258565292967789,2.8926875591278076
4,801,1,0.01,40,10,0.0015625,explicit,0.05,0.03125,0.006249999999999999,0.0009575246458871889,5.83715033531189
5,801,1,0.01,40,10,0.00078125,explicit,0.05,0.015625,0.0031249999999999993,0.000738180504041156,11.561819553375244
