trial,N,U,G,tf,ti,dt,scheme
1,801,1,0.01,40,10,0.0125,implicit
2,801,1,0.01,40,10,0.00625,implicit
3,801,1,0.01,40,10,0.003125,implicit
4,801,1,0.01,40,10,0.0015625,implicit
5,801,1,0.01,40,10,0.00078125,implicit
