trial,Nx,Ny,L,dt,a,Re,plot_x,k,t,dx,dy,CFL_ac,Le,MAE,Time
1,25,10,2.5,0.001,2,20,2.5,39810,39.80999999999792,0.1,0.1,0.02,1.7499999999999998,0.007377867459762566,2.175520181655884
2,50,20,2.5,0.001,2,20,2.5,40275,40.27499999999684,0.05,0.05,0.04,1.625,0.0016250827919150653,3.032644033432007
3,100,40,2.5,0.001,2,20,2.5,40388,40.38799999999657,0.025,0.025,0.08,1.5875000000000004,0.0003322976689010326,5.924842596054077
4,150,60,2.5,0.001,2,20,2.5,40408,40.40799999999653,0.016666666666666666,0.016666666666666666,0.12000000000000001,1.575,0.0001708559713187926,9.816264867782593
