trial,Nx,Ny,L,dt,a,Re,epsilon,plot_x
1,025,10,2.5,1e-3,2,20,1e-4,2.5
2,050,20,2.5,1e-3,2,20,1e-4,2.5
3,100,40,2.5,1e-3,2,20,1e-4,2.5
4,150,60,2.5,1e-3,2,20,1e-4,2.5
