trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,501,1,0.01,40,10,0.01,explicit,0.08,0.125,0.015625,0.006269246306716158,0.5891661643981934
2,501,1,0.01,40,10,0.01,implicit,0.08,0.125,0.015625,0.004569187173701197,0.5808818340301514
3,501,1,0.01,40,10,0.01,crank-nicolson,0.08,0.125,0.015625,0.002295264742248181,1.0083839893341064
