trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,501,1,0.01,20,10,0.01,implicit,0.08,0.125,0.015625,0.002983361126505386,0.18229913711547852
2,501,1,0.01,30,10,0.01,implicit,0.08,0.125,0.015625,0.0037105106558806213,0.3630967140197754
3,501,1,0.01,40,10,0.01,implicit,0.08,0.125,0.015625,0.004036076257603481,0.5390901565551758
