trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,501,1,0.01,20,10,0.01,explicit,0.08,0.125,0.015625,0.0038124237151164835,0.18937993049621582
2,501,1,0.01,30,10,0.01,explicit,0.08,0.125,0.015625,0.005209870052035431,0.366086483001709
3,501,1,0.01,40,10,0.01,explicit,0.08,0.125,0.015625,0.005936207162004064,0.5525755882263184
