trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,501,1,0.0,20,10,0.01,explicit,0.08,0.125,0.0,0.011000608740431161,0.21531939506530762
2,501,1,0.0,30,10,0.01,explicit,0.08,0.125,0.0,0.05803317192486111,0.38124513626098633
3,501,1,0.0,40,10,0.01,explicit,0.08,0.125,0.0,0.7775285593757952,0.5598351955413818
