trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,501,1,0.0,20,10,0.01,implicit,0.08,0.125,0.0,0.005707094674790714,0.18193387985229492
2,501,1,0.0,30,10,0.01,implicit,0.08,0.125,0.0,0.009500631934366139,0.3613159656524658
3,501,1,0.0,40,10,0.01,implicit,0.08,0.125,0.0,0.012221048077190816,0.5401620864868164
