trial,N,U,G,tf,ti,dt,scheme,h,CFL,Diffusion,MAE,Time
1,501,1,0.0,20,10,0.01,crank-nicolson,0.08,0.125,0.0,0.0044802163072167975,0.3234400749206543
2,501,1,0.0,30,10,0.01,crank-nicolson,0.08,0.125,0.0,0.008995701077314459,0.6444523334503174
3,501,1,0.0,40,10,0.01,crank-nicolson,0.08,0.125,0.0,0.013187935805323518,0.9606618881225586
