trial,N,U,G,tf,ti,dt,scheme
1,501,1,0.01,20,10,0.01,crank-nicolson
2,501,1,0.01,30,10,0.01,crank-nicolson
3,501,1,0.01,40,10,0.01,crank-nicolson
