trial,N,Re,U,t,tau,MAE,Time
1,128,400,0.5,55308,0.9762500000000001,0.0,198.55500745773315
2,64,400,0.5,44436,0.7362500000000001,0.059779897691504776,44.09987735748291
3,32,400,0.5,39935,0.61625,0.19087758920683462,14.374065637588501
