t      Ma         |du_dt|    |dv_dt|
0      8.6603e-01 8.3333e-02 1.1287e-01
1      8.6603e-01 5.9847e-02 4.3521e-02
2      8.6603e-01 8.2671e-02 9.6268e-02
3      8.6603e-01 5.8890e-02 4.3810e-02
4      8.6603e-01 7.1857e-02 6.8186e-02
5      8.6603e-01 3.6323e-02 3.2355e-02
6      8.6603e-01 4.2453e-02 4.7552e-02
7      8.6603e-01 3.4097e-02 2.6059e-02
8      8.6603e-01 2.0336e-02 2.3623e-02
9      8.6603e-01 1.5755e-02 2.3967e-02
10     8.6603e-01 1.6963e-02 2.0061e-02
11     8.6603e-01 1.5157e-02 1.8081e-02
12     8.6603e-01 1.3782e-02 1.6318e-02
13     8.6603e-01 1.2446e-02 1.5129e-02
14     8.6603e-01 1.3017e-02 1.4487e-02
15     8.6603e-01 1.3719e-02 1.3984e-02
16     8.6603e-01 1.3038e-02 1.3016e-02
17     8.6603e-01 1.3948e-02 1.2757e-02
18     8.6603e-01 1.4236e-02 1.1998e-02
19     8.6603e-01 1.5053e-02 1.1761e-02
20     8.6603e-01 1.5711e-02 1.1301e-02
21     8.6603e-01 1.5695e-02 1.0870e-02
22     8.6603e-01 1.6362e-02 1.0631e-02
23     8.6603e-01 1.5669e-02 9.8704e-03
24     8.6603e-01 1.5391e-02 9.9657e-03
25     8.6603e-01 1.4922e-02 9.5050e-03
26     8.6603e-01 1.4605e-02 9.3975e-03
27     8.6603e-01 1.4104e-02 9.2561e-03
28     8.6603e-01 1.3226e-02 8.9132e-03
29     8.6603e-01 1.2191e-02 8.9368e-03
30     8.6603e-01 1.0810e-02 8.3409e-03
31     8.6603e-01 9.3193e-03 8.2862e-03
32     8.6603e-01 8.6233e-03 8.0864e-03
33     8.6603e-01 8.1530e-03 8.1547e-03
34     8.6603e-01 7.8023e-03 8.0516e-03
35     8.6603e-01 7.4711e-03 7.9671e-03
36     8.6603e-01 7.1609e-03 7.7216e-03
37     8.6603e-01 6.8516e-03 7.4847e-03
38     8.6603e-01 6.6989e-03 7.1285e-03
39     8.6603e-01 6.9232e-03 6.7999e-03
40     8.6603e-01 7.1939e-03 6.5461e-03
41     8.6603e-01 7.2678e-03 6.4847e-03
42     8.6603e-01 7.4827e-03 6.1885e-03
43     8.6603e-01 7.7024e-03 6.2498e-03
44     8.6603e-01 7.7977e-03 6.2851e-03
45     8.6603e-01 7.7513e-03 6.2786e-03
46     8.6603e-01 7.5715e-03 6.2702e-03
47     8.6603e-01 7.2699e-03 6.1731e-03
48     8.6603e-01 6.8639e-03 6.2471e-03
49     8.6603e-01 6.3968e-03 6.1961e-03
50     8.6603e-01 6.0553e-03 6.0957e-03
51     8.6603e-01 5.8161e-03 5.8762e-03
52     8.6603e-01 6.2233e-03 5.7375e-03
53     8.6603e-01 6.4120e-03 5.6023e-03
54     8.6603e-01 6.7503e-03 5.3910e-03
55     8.6603e-01 6.9967e-03 5.1663e-03
56     8.6603e-01 7.1929e-03 4.8963e-03
57     8.6603e-01 7.3051e-03 4.7320e-03
58     8.6603e-01 7.4197e-03 4.8803e-03
59     8.6603e-01 7.5177e-03 5.4268e-03
60     8.6603e-01 7.4553e-03 5.6826e-03
61     8.6653e-01 7.3729e-03 5.7307e-03
62     8.7369e-01 7.1581e-03 5.7255e-03
63     8.8045e-01 6.9228e-03 5.7297e-03
64     8.8684e-01 6.7746e-03 6.1269e-03
65     8.9275e-01 6.5440e-03 6.4387e-03
66     8.9820e-01 6.3643e-03 6.7848e-03
67     9.0314e-01 6.4222e-03 6.8347e-03
68     9.0759e-01 6.2462e-03 6.8967e-03
69     9.1155e-01 6.2758e-03 6.6569e-03
70     9.1503e-01 6.0281e-03 6.3635e-03
