0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.005621, 0.000000, 0.009354
0.000000, 0.011734, 0.000000, 0.019526
0.000000, 0.018080, 0.000000, 0.030079
0.000000, 0.024645, 0.000000, 0.040991
0.000000, 0.031300, 0.000000, 0.052042
0.000000, 0.037987, 0.000000, 0.063133
0.000000, 0.044677, 0.000000, 0.074211
0.000000, 0.051369, 0.000000, 0.085273
0.000000, 0.058056, 0.000000, 0.096294
0.000000, 0.064809, 0.000000, 0.107395
0.000000, 0.071690, 0.000000, 0.118695
0.000000, 0.078644, 0.000000, 0.130106
0.000000, 0.085558, 0.000000, 0.141441
0.000000, 0.092386, 0.000000, 0.152606
0.000000, 0.099167, 0.000000, 0.163649
0.000000, 0.105997, 0.000000, 0.174736
0.000000, 0.112972, 0.000000, 0.186056
0.000000, 0.119980, 0.000000, 0.197421
0.000000, 0.126911, 0.000000, 0.208629
0.000000, 0.133793, 0.000000, 0.219727
0.000000, 0.140640, 0.000000, 0.230710
0.000000, 0.147592, 0.000000, 0.241842
0.000000, 0.154657, 0.000000, 0.253136
0.000000, 0.161849, 0.000000, 0.264644
0.000000, 0.169030, 0.000000, 0.276081
0.000000, 0.175998, 0.000000, 0.286925
0.000000, 0.183546, 0.000000, 0.299001
0.000000, 0.190635, 0.000000, 0.310235
0.000000, 0.197547, 0.000000, 0.321143
0.000000, 0.204343, 0.000000, 0.331816
0.000000, 0.211050, 0.000000, 0.342228
0.000000, 0.218006, 0.000000, 0.353044
0.000000, 0.225161, 0.000000, 0.364168
0.000000, 0.232507, 0.000000, 0.375665
0.000000, 0.239751, 0.000000, 0.386963
0.000000, 0.246917, 0.000000, 0.398128
0.000000, 0.253747, 0.000000, 0.408461
0.000000, 0.260943, 0.000000, 0.419447
0.000000, 0.268142, 0.000000, 0.430449
0.000000, 0.275293, 0.000000, 0.441449
0.000000, 0.282048, 0.000000, 0.451627
0.000000, 0.288900, 0.000000, 0.461925
0.000000, 0.295835, 0.000000, 0.472345
0.000000, 0.302755, 0.000000, 0.482814
0.000000, 0.309364, 0.000000, 0.492691
0.000000, 0.315875, 0.000000, 0.502407
0.000000, 0.322279, 0.000000, 0.511850
0.000000, 0.328809, 0.000000, 0.521459
0.000000, 0.335438, 0.000000, 0.531175
0.000000, 0.342168, 0.000000, 0.541048
0.000000, 0.348794, 0.000000, 0.550713
0.000000, 0.355349, 0.000000, 0.560242
0.000000, 0.361851, 0.000000, 0.569589
0.000000, 0.368509, 0.000000, 0.579142
0.000000, 0.375280, 0.000000, 0.588842
0.000000, 0.382027, 0.000000, 0.598441
0.000000, 0.388794, 0.000000, 0.608042
0.000000, 0.395452, 0.000000, 0.617375
0.000000, 0.402196, 0.000000, 0.626818
0.000000, 0.408893, 0.000000, 0.636116
0.000000, 0.415589, 0.000000, 0.645379
0.000000, 0.422246, 0.000000, 0.654474
0.000000, 0.429052, 0.000000, 0.663738
0.000000, 0.435951, 0.000000, 0.673082
0.000000, 0.442907, 0.000000, 0.682441
0.000000, 0.449910, 0.000000, 0.691818
0.000000, 0.456733, 0.000000, 0.700575
0.000000, 0.464185, 0.000000, 0.710451
0.000000, 0.471222, 0.000000, 0.719646
0.000000, 0.478074, 0.000000, 0.728506
0.000000, 0.484777, 0.000000, 0.737066
0.000000, 0.491446, 0.000000, 0.745486
0.000000, 0.498160, 0.000000, 0.753865
0.000000, 0.504978, 0.000000, 0.762311
0.000000, 0.511823, 0.000000, 0.770712
0.000000, 0.518659, 0.000000, 0.778993
0.000000, 0.525543, 0.000000, 0.787238
0.000000, 0.532496, 0.000000, 0.795478
0.000000, 0.539490, 0.000000, 0.803670
0.000000, 0.546497, 0.000000, 0.811771
0.000000, 0.553493, 0.000000, 0.819735
0.000000, 0.560557, 0.000000, 0.827735
0.000000, 0.567370, 0.000000, 0.835276
0.000000, 0.574114, 0.000000, 0.842569
0.000000, 0.581015, 0.000000, 0.849962
0.000000, 0.587897, 0.000000, 0.857204
0.000000, 0.594768, 0.000000, 0.864298
0.000000, 0.601677, 0.000000, 0.871288
