Iteration, Residual
291, 1.618064e+01
292, 1.609538e+01
293, 1.601066e+01
294, 1.592647e+01
295, 1.584281e+01
296, 1.575967e+01
297, 1.567706e+01
298, 1.559496e+01
299, 1.551338e+01
300, 1.543230e+01
301, 1.535173e+01
302, 1.527165e+01
303, 1.519207e+01
304, 1.511298e+01
305, 1.503438e+01
306, 1.495626e+01
307, 1.487862e+01
308, 1.480146e+01
309, 1.472476e+01
310, 1.464854e+01
311, 1.457277e+01
312, 1.449747e+01
313, 1.442263e+01
314, 1.434823e+01
315, 1.427429e+01
316, 1.420079e+01
317, 1.412773e+01
318, 1.405512e+01
319, 1.398293e+01
320, 1.391118e+01
321, 1.383986e+01
322, 1.376896e+01
323, 1.369849e+01
324, 1.362843e+01
325, 1.355879e+01
326, 1.348956e+01
327, 1.342074e+01
328, 1.335232e+01
329, 1.328431e+01
330, 1.321670e+01
331, 1.314949e+01
332, 1.308267e+01
333, 1.301624e+01
334, 1.295020e+01
335, 1.288454e+01
336, 1.281926e+01
337, 1.275437e+01
338, 1.268985e+01
339, 1.262571e+01
340, 1.256194e+01
341, 1.249853e+01
342, 1.243549e+01
343, 1.237282e+01
344, 1.231050e+01
345, 1.224855e+01
346, 1.218694e+01
347, 1.212569e+01
348, 1.206480e+01
349, 1.200424e+01
350, 1.194404e+01
351, 1.188418e+01
352, 1.182465e+01
353, 1.176547e+01
354, 1.170662e+01
355, 1.164810e+01
356, 1.158992e+01
357, 1.153206e+01
358, 1.147453e+01
359, 1.141733e+01
360, 1.136044e+01
361, 1.130388e+01
362, 1.124763e+01
363, 1.119170e+01
364, 1.113608e+01
365, 1.108077e+01
366, 1.102577e+01
367, 1.097107e+01
368, 1.091668e+01
369, 1.086260e+01
370, 1.080881e+01
371, 1.075532e+01
372, 1.070213e+01
373, 1.064923e+01
374, 1.059662e+01
375, 1.054431e+01
376, 1.049228e+01
377, 1.044054e+01
378, 1.038908e+01
379, 1.033791e+01
380, 1.028701e+01
381, 1.023640e+01
382, 1.018606e+01
383, 1.013600e+01
384, 1.008621e+01
385, 1.003669e+01
386, 9.987441e+00
387, 9.938460e+00
388, 9.889746e+00
389, 9.841296e+00
390, 9.793109e+00
391, 9.745182e+00
392, 9.697515e+00
393, 9.650106e+00
394, 9.602952e+00
395, 9.556053e+00
396, 9.509406e+00
397, 9.463010e+00
398, 9.416864e+00
399, 9.370965e+00
400, 9.325313e+00
401, 9.279905e+00
402, 9.234740e+00
403, 9.189816e+00
404, 9.145133e+00
405, 9.100688e+00
406, 9.056480e+00
407, 9.012507e+00
408, 8.968768e+00
409, 8.925261e+00
410, 8.881986e+00
411, 8.838940e+00
412, 8.796122e+00
413, 8.753531e+00
414, 8.711165e+00
415, 8.669022e+00
416, 8.627102e+00
417, 8.585403e+00
418, 8.543924e+00
419, 8.502663e+00
420, 8.461619e+00
421, 8.420791e+00
422, 8.380177e+00
423, 8.339776e+00
424, 8.299586e+00
425, 8.259607e+00
426, 8.219836e+00
427, 8.180274e+00
428, 8.140918e+00
429, 8.101767e+00
430, 8.062820e+00
431, 8.024076e+00
432, 7.985533e+00
433, 7.947191e+00
434, 7.909048e+00
435, 7.871102e+00
436, 7.833353e+00
437, 7.795800e+00
438, 7.758441e+00
439, 7.721275e+00
440, 7.684301e+00
441, 7.647518e+00
442, 7.610924e+00
443, 7.574519e+00
444, 7.538302e+00
445, 7.502270e+00
446, 7.466424e+00
447, 7.430762e+00
448, 7.395283e+00
449, 7.359986e+00
450, 7.324869e+00
451, 7.289933e+00
452, 7.255175e+00
453, 7.220595e+00
454, 7.186191e+00
455, 7.151963e+00
456, 7.117909e+00
457, 7.084029e+00
458, 7.050322e+00
459, 7.016786e+00
460, 6.983420e+00
461, 6.950224e+00
462, 6.917196e+00
463, 6.884336e+00
464, 6.851643e+00
465, 6.819115e+00
466, 6.786751e+00
467, 6.754552e+00
468, 6.722515e+00
469, 6.690640e+00
470, 6.658925e+00
471, 6.627371e+00
472, 6.595976e+00
473, 6.564739e+00
474, 6.533659e+00
475, 6.502735e+00
476, 6.471967e+00
477, 6.441353e+00
478, 6.410893e+00
479, 6.380586e+00
480, 6.350431e+00
481, 6.320427e+00
482, 6.290572e+00
483, 6.260868e+00
484, 6.231312e+00
485, 6.201903e+00
486, 6.172641e+00
487, 6.143526e+00
488, 6.114555e+00
489, 6.085729e+00
490, 6.057046e+00
491, 6.028506e+00
492, 6.000109e+00
493, 5.971852e+00
494, 5.943735e+00
495, 5.915759e+00
496, 5.887921e+00
497, 5.860221e+00
498, 5.832658e+00
499, 5.805232e+00
500, 5.777942e+00
501, 5.750787e+00
502, 5.723766e+00
503, 5.696878e+00
504, 5.670123e+00
505, 5.643501e+00
506, 5.617010e+00
507, 5.590649e+00
508, 5.564418e+00
509, 5.538316e+00
510, 5.512343e+00
511, 5.486498e+00
512, 5.460780e+00
513, 5.435188e+00
514, 5.409721e+00
515, 5.384380e+00
516, 5.359163e+00
517, 5.334070e+00
518, 5.309100e+00
519, 5.284252e+00
520, 5.259526e+00
521, 5.234920e+00
522, 5.210435e+00
523, 5.186070e+00
524, 5.161824e+00
525, 5.137696e+00
526, 5.113686e+00
527, 5.089793e+00
528, 5.066017e+00
529, 5.042356e+00
530, 5.018811e+00
531, 4.995380e+00
532, 4.972064e+00
533, 4.948861e+00
534, 4.925770e+00
535, 4.902792e+00
536, 4.879926e+00
537, 4.857170e+00
538, 4.834525e+00
539, 4.811990e+00
540, 4.789564e+00
541, 4.767247e+00
542, 4.745038e+00
543, 4.722936e+00
544, 4.700941e+00
545, 4.679053e+00
546, 4.657271e+00
547, 4.635594e+00
548, 4.614021e+00
549, 4.592553e+00
550, 4.571188e+00
551, 4.549927e+00
552, 4.528768e+00
553, 4.507711e+00
554, 4.486756e+00
555, 4.465901e+00
556, 4.445147e+00
557, 4.424493e+00
558, 4.403938e+00
559, 4.383482e+00
560, 4.363125e+00
561, 4.342865e+00
562, 4.322703e+00
563, 4.302637e+00
564, 4.282668e+00
565, 4.262794e+00
566, 4.243016e+00
567, 4.223333e+00
568, 4.203744e+00
569, 4.184249e+00
570, 4.164847e+00
571, 4.145538e+00
572, 4.126321e+00
573, 4.107197e+00
574, 4.088164e+00
575, 4.069222e+00
576, 4.050370e+00
577, 4.031608e+00
578, 4.012936e+00
579, 3.994354e+00
580, 3.975859e+00
581, 3.957453e+00
582, 3.939135e+00
583, 3.920904e+00
584, 3.902760e+00
585, 3.884703e+00
586, 3.866731e+00
587, 3.848845e+00
588, 3.831044e+00
589, 3.813328e+00
590, 3.795696e+00
591, 3.778148e+00
592, 3.760684e+00
593, 3.743302e+00
594, 3.726003e+00
595, 3.708786e+00
596, 3.691650e+00
597, 3.674596e+00
598, 3.657623e+00
599, 3.640731e+00
600, 3.623918e+00
601, 3.607185e+00
602, 3.590532e+00
603, 3.573957e+00
604, 3.557461e+00
605, 3.541043e+00
606, 3.524702e+00
607, 3.508439e+00
608, 3.492253e+00
609, 3.476144e+00
610, 3.460110e+00
611, 3.444152e+00
612, 3.428270e+00
613, 3.412463e+00
614, 3.396730e+00
615, 3.381072e+00
616, 3.365487e+00
617, 3.349976e+00
618, 3.334539e+00
619, 3.319174e+00
620, 3.303881e+00
621, 3.288661e+00
622, 3.273512e+00
623, 3.258434e+00
624, 3.243428e+00
625, 3.228492e+00
626, 3.213627e+00
627, 3.198831e+00
628, 3.184105e+00
629, 3.169449e+00
630, 3.154861e+00
631, 3.140342e+00
632, 3.125891e+00
633, 3.111508e+00
634, 3.097192e+00
635, 3.082944e+00
636, 3.068763e+00
637, 3.054648e+00
638, 3.040600e+00
639, 3.026617e+00
640, 3.012700e+00
641, 2.998848e+00
642, 2.985062e+00
643, 2.971339e+00
644, 2.957682e+00
645, 2.944088e+00
646, 2.930558e+00
647, 2.917091e+00
648, 2.903687e+00
649, 2.890346e+00
650, 2.877068e+00
651, 2.863851e+00
652, 2.850697e+00
653, 2.837604e+00
654, 2.824572e+00
655, 2.811601e+00
656, 2.798691e+00
657, 2.785841e+00
658, 2.773051e+00
659, 2.760321e+00
660, 2.747651e+00
661, 2.735039e+00
662, 2.722487e+00
663, 2.709993e+00
664, 2.697557e+00
665, 2.685179e+00
666, 2.672859e+00
667, 2.660597e+00
668, 2.648392e+00
669, 2.636244e+00
670, 2.624152e+00
671, 2.612117e+00
672, 2.600137e+00
673, 2.588214e+00
674, 2.576346e+00
675, 2.564534e+00
676, 2.552776e+00
677, 2.541073e+00
678, 2.529425e+00
679, 2.517831e+00
680, 2.506290e+00
681, 2.494804e+00
682, 2.483371e+00
683, 2.471991e+00
684, 2.460664e+00
685, 2.449390e+00
686, 2.438168e+00
687, 2.426998e+00
688, 2.415881e+00
689, 2.404814e+00
690, 2.393800e+00
691, 2.382836e+00
692, 2.371923e+00
693, 2.361062e+00
694, 2.350250e+00
695, 2.339489e+00
696, 2.328777e+00
697, 2.318116e+00
698, 2.307503e+00
699, 2.296940e+00
700, 2.286426e+00
701, 2.275961e+00
702, 2.265544e+00
703, 2.255176e+00
704, 2.244856e+00
705, 2.234583e+00
706, 2.224358e+00
707, 2.214181e+00
708, 2.204050e+00
709, 2.193967e+00
710, 2.183930e+00
711, 2.173940e+00
712, 2.163996e+00
713, 2.154098e+00
714, 2.144246e+00
715, 2.134439e+00
716, 2.124678e+00
717, 2.114962e+00
718, 2.105291e+00
719, 2.095665e+00
720, 2.086083e+00
721, 2.076546e+00
722, 2.067053e+00
723, 2.057603e+00
724, 2.048197e+00
725, 2.038835e+00
726, 2.029516e+00
727, 2.020240e+00
728, 2.011007e+00
729, 2.001817e+00
730, 1.992669e+00
731, 1.983563e+00
732, 1.974499e+00
733, 1.965478e+00
734, 1.956498e+00
735, 1.947559e+00
736, 1.938661e+00
737, 1.929805e+00
738, 1.920990e+00
739, 1.912215e+00
740, 1.903481e+00
741, 1.894787e+00
742, 1.886133e+00
743, 1.877519e+00
744, 1.868945e+00
745, 1.860410e+00
746, 1.851915e+00
747, 1.843458e+00
748, 1.835041e+00
749, 1.826663e+00
750, 1.818323e+00
751, 1.810022e+00
752, 1.801759e+00
753, 1.793534e+00
754, 1.785347e+00
755, 1.777197e+00
756, 1.769085e+00
757, 1.761011e+00
758, 1.752974e+00
759, 1.744973e+00
760, 1.737010e+00
761, 1.729083e+00
762, 1.721193e+00
763, 1.713339e+00
764, 1.705521e+00
765, 1.697739e+00
766, 1.689993e+00
767, 1.682283e+00
768, 1.674608e+00
769, 1.666968e+00
770, 1.659364e+00
771, 1.651794e+00
772, 1.644259e+00
773, 1.636759e+00
774, 1.629294e+00
775, 1.621863e+00
776, 1.614466e+00
777, 1.607103e+00
778, 1.599773e+00
779, 1.592478e+00
780, 1.585216e+00
781, 1.577987e+00
782, 1.570792e+00
783, 1.563629e+00
784, 1.556500e+00
785, 1.549403e+00
786, 1.542339e+00
787, 1.535308e+00
788, 1.528308e+00
789, 1.521341e+00
790, 1.514406e+00
791, 1.507503e+00
792, 1.500631e+00
793, 1.493791e+00
794, 1.486982e+00
795, 1.480205e+00
796, 1.473458e+00
797, 1.466743e+00
798, 1.460058e+00
799, 1.453405e+00
800, 1.446781e+00
801, 1.440188e+00
802, 1.433625e+00
803, 1.427093e+00
804, 1.420590e+00
805, 1.414117e+00
806, 1.407674e+00
807, 1.401261e+00
808, 1.394877e+00
809, 1.388522e+00
810, 1.382196e+00
811, 1.375899e+00
812, 1.369631e+00
813, 1.363392e+00
814, 1.357181e+00
815, 1.350999e+00
816, 1.344846e+00
817, 1.338720e+00
818, 1.332623e+00
819, 1.326553e+00
820, 1.320511e+00
821, 1.314497e+00
822, 1.308511e+00
823, 1.302552e+00
824, 1.296620e+00
825, 1.290715e+00
826, 1.284838e+00
827, 1.278987e+00
828, 1.273163e+00
829, 1.267366e+00
830, 1.261596e+00
831, 1.255851e+00
832, 1.250133e+00
833, 1.244442e+00
834, 1.238776e+00
835, 1.233136e+00
836, 1.227522e+00
837, 1.221934e+00
838, 1.216371e+00
839, 1.210834e+00
840, 1.205322e+00
841, 1.199836e+00
842, 1.194374e+00
843, 1.188938e+00
844, 1.183526e+00
845, 1.178139e+00
846, 1.172777e+00
847, 1.167439e+00
