Iteration, Residual
291, 2.700044e+01
292, 2.688583e+01
293, 2.677197e+01
294, 2.665885e+01
295, 2.654646e+01
296, 2.643478e+01
297, 2.632382e+01
298, 2.621357e+01
299, 2.610402e+01
300, 2.599515e+01
301, 2.588697e+01
302, 2.577947e+01
303, 2.567263e+01
304, 2.556646e+01
305, 2.546094e+01
306, 2.535607e+01
307, 2.525184e+01
308, 2.514824e+01
309, 2.504527e+01
310, 2.494293e+01
311, 2.484120e+01
312, 2.474008e+01
313, 2.463956e+01
314, 2.453964e+01
315, 2.444030e+01
316, 2.434156e+01
317, 2.424339e+01
318, 2.414580e+01
319, 2.404877e+01
320, 2.395231e+01
321, 2.385640e+01
322, 2.376105e+01
323, 2.366624e+01
324, 2.357197e+01
325, 2.347824e+01
326, 2.338504e+01
327, 2.329236e+01
328, 2.320021e+01
329, 2.310857e+01
330, 2.301744e+01
331, 2.292682e+01
332, 2.283670e+01
333, 2.274708e+01
334, 2.265795e+01
335, 2.256931e+01
336, 2.248115e+01
337, 2.239348e+01
338, 2.230627e+01
339, 2.221954e+01
340, 2.213328e+01
341, 2.204747e+01
342, 2.196213e+01
343, 2.187724e+01
344, 2.179280e+01
345, 2.170881e+01
346, 2.162526e+01
347, 2.154215e+01
348, 2.145948e+01
349, 2.137724e+01
350, 2.129542e+01
351, 2.121404e+01
352, 2.113307e+01
353, 2.105252e+01
354, 2.097238e+01
355, 2.089265e+01
356, 2.081334e+01
357, 2.073442e+01
358, 2.065591e+01
359, 2.057779e+01
360, 2.050007e+01
361, 2.042274e+01
362, 2.034580e+01
363, 2.026924e+01
364, 2.019306e+01
365, 2.011727e+01
366, 2.004185e+01
367, 1.996680e+01
368, 1.989212e+01
369, 1.981781e+01
370, 1.974386e+01
371, 1.967028e+01
372, 1.959706e+01
373, 1.952419e+01
374, 1.945167e+01
375, 1.937951e+01
376, 1.930769e+01
377, 1.923622e+01
378, 1.916510e+01
379, 1.909431e+01
380, 1.902386e+01
381, 1.895375e+01
382, 1.888397e+01
383, 1.881453e+01
384, 1.874541e+01
385, 1.867661e+01
386, 1.860815e+01
387, 1.854000e+01
388, 1.847217e+01
389, 1.840466e+01
390, 1.833746e+01
391, 1.827058e+01
392, 1.820400e+01
393, 1.813774e+01
394, 1.807178e+01
395, 1.800612e+01
396, 1.794077e+01
397, 1.787572e+01
398, 1.781096e+01
399, 1.774650e+01
400, 1.768233e+01
401, 1.761846e+01
402, 1.755487e+01
403, 1.749158e+01
404, 1.742857e+01
405, 1.736584e+01
406, 1.730340e+01
407, 1.724123e+01
408, 1.717935e+01
409, 1.711774e+01
410, 1.705641e+01
411, 1.699534e+01
412, 1.693456e+01
413, 1.687404e+01
414, 1.681378e+01
415, 1.675380e+01
416, 1.669408e+01
417, 1.663462e+01
418, 1.657543e+01
419, 1.651649e+01
420, 1.645781e+01
421, 1.639939e+01
422, 1.634122e+01
423, 1.628330e+01
424, 1.622564e+01
425, 1.616823e+01
426, 1.611106e+01
427, 1.605415e+01
428, 1.599747e+01
429, 1.594105e+01
430, 1.588486e+01
431, 1.582892e+01
432, 1.577321e+01
433, 1.571774e+01
434, 1.566251e+01
435, 1.560752e+01
436, 1.555276e+01
437, 1.549823e+01
438, 1.544393e+01
439, 1.538987e+01
440, 1.533603e+01
441, 1.528242e+01
442, 1.522903e+01
443, 1.517587e+01
444, 1.512293e+01
445, 1.507021e+01
446, 1.501772e+01
447, 1.496544e+01
448, 1.491339e+01
449, 1.486154e+01
450, 1.480992e+01
451, 1.475851e+01
452, 1.470731e+01
453, 1.465632e+01
454, 1.460555e+01
455, 1.455498e+01
456, 1.450462e+01
457, 1.445447e+01
458, 1.440453e+01
459, 1.435479e+01
460, 1.430526e+01
461, 1.425592e+01
462, 1.420679e+01
463, 1.415786e+01
464, 1.410913e+01
465, 1.406060e+01
466, 1.401226e+01
467, 1.396412e+01
468, 1.391618e+01
469, 1.386843e+01
470, 1.382087e+01
471, 1.377350e+01
472, 1.372633e+01
473, 1.367935e+01
474, 1.363255e+01
475, 1.358594e+01
476, 1.353952e+01
477, 1.349328e+01
478, 1.344723e+01
479, 1.340137e+01
480, 1.335568e+01
481, 1.331018e+01
482, 1.326486e+01
483, 1.321972e+01
484, 1.317476e+01
485, 1.312997e+01
486, 1.308537e+01
487, 1.304094e+01
488, 1.299668e+01
489, 1.295260e+01
490, 1.290869e+01
491, 1.286496e+01
492, 1.282140e+01
493, 1.277801e+01
494, 1.273479e+01
495, 1.269173e+01
496, 1.264885e+01
497, 1.260614e+01
498, 1.256359e+01
499, 1.252120e+01
500, 1.247898e+01
501, 1.243693e+01
502, 1.239504e+01
503, 1.235331e+01
504, 1.231174e+01
505, 1.227034e+01
506, 1.222909e+01
507, 1.218800e+01
508, 1.214708e+01
509, 1.210630e+01
510, 1.206569e+01
511, 1.202523e+01
512, 1.198493e+01
513, 1.194478e+01
514, 1.190479e+01
515, 1.186495e+01
516, 1.182526e+01
517, 1.178572e+01
518, 1.174634e+01
519, 1.170710e+01
520, 1.166802e+01
521, 1.162908e+01
522, 1.159029e+01
523, 1.155165e+01
524, 1.151315e+01
525, 1.147480e+01
526, 1.143660e+01
527, 1.139854e+01
528, 1.136062e+01
529, 1.132285e+01
530, 1.128521e+01
531, 1.124773e+01
532, 1.121038e+01
533, 1.117317e+01
534, 1.113610e+01
535, 1.109917e+01
536, 1.106238e+01
537, 1.102573e+01
538, 1.098921e+01
539, 1.095283e+01
540, 1.091659e+01
541, 1.088048e+01
542, 1.084451e+01
543, 1.080867e+01
544, 1.077296e+01
545, 1.073738e+01
546, 1.070194e+01
547, 1.066663e+01
548, 1.063145e+01
549, 1.059640e+01
550, 1.056148e+01
551, 1.052669e+01
552, 1.049203e+01
553, 1.045749e+01
554, 1.042309e+01
555, 1.038881e+01
556, 1.035465e+01
557, 1.032062e+01
558, 1.028672e+01
559, 1.025294e+01
560, 1.021928e+01
561, 1.018575e+01
562, 1.015234e+01
563, 1.011905e+01
564, 1.008589e+01
565, 1.005284e+01
566, 1.001992e+01
567, 9.987115e+00
568, 9.954431e+00
569, 9.921865e+00
570, 9.889417e+00
571, 9.857088e+00
572, 9.824876e+00
573, 9.792780e+00
574, 9.760801e+00
575, 9.728938e+00
576, 9.697190e+00
577, 9.665556e+00
578, 9.634037e+00
579, 9.602632e+00
580, 9.571340e+00
581, 9.540161e+00
582, 9.509094e+00
583, 9.478138e+00
584, 9.447294e+00
585, 9.416561e+00
586, 9.385938e+00
587, 9.355425e+00
588, 9.325022e+00
589, 9.294727e+00
590, 9.264541e+00
591, 9.234462e+00
592, 9.204491e+00
593, 9.174627e+00
594, 9.144870e+00
595, 9.115218e+00
596, 9.085673e+00
597, 9.056232e+00
598, 9.026896e+00
599, 8.997665e+00
600, 8.968537e+00
601, 8.939513e+00
602, 8.910592e+00
603, 8.881773e+00
604, 8.853056e+00
605, 8.824441e+00
606, 8.795927e+00
607, 8.767514e+00
608, 8.739201e+00
609, 8.710988e+00
610, 8.682875e+00
611, 8.654860e+00
612, 8.626945e+00
613, 8.599127e+00
614, 8.571408e+00
615, 8.543786e+00
616, 8.516261e+00
617, 8.488832e+00
618, 8.461500e+00
619, 8.434264e+00
620, 8.407122e+00
621, 8.380076e+00
622, 8.353125e+00
623, 8.326268e+00
624, 8.299504e+00
625, 8.272835e+00
626, 8.246258e+00
627, 8.219773e+00
628, 8.193382e+00
629, 8.167082e+00
630, 8.140873e+00
631, 8.114756e+00
632, 8.088729e+00
633, 8.062793e+00
634, 8.036947e+00
635, 8.011191e+00
636, 7.985524e+00
637, 7.959945e+00
638, 7.934456e+00
639, 7.909054e+00
640, 7.883741e+00
641, 7.858515e+00
642, 7.833376e+00
643, 7.808324e+00
644, 7.783358e+00
645, 7.758478e+00
646, 7.733685e+00
647, 7.708976e+00
648, 7.684353e+00
649, 7.659814e+00
650, 7.635360e+00
651, 7.610989e+00
652, 7.586703e+00
653, 7.562499e+00
654, 7.538379e+00
655, 7.514342e+00
656, 7.490386e+00
657, 7.466513e+00
658, 7.442722e+00
659, 7.419012e+00
660, 7.395382e+00
661, 7.371834e+00
662, 7.348366e+00
663, 7.324978e+00
664, 7.301670e+00
665, 7.278442e+00
666, 7.255292e+00
667, 7.232221e+00
668, 7.209229e+00
669, 7.186315e+00
670, 7.163479e+00
671, 7.140721e+00
672, 7.118040e+00
673, 7.095436e+00
674, 7.072908e+00
675, 7.050457e+00
676, 7.028082e+00
677, 7.005783e+00
678, 6.983559e+00
679, 6.961411e+00
680, 6.939337e+00
681, 6.917338e+00
682, 6.895413e+00
683, 6.873563e+00
