t        CFL_adv    |du/dt|    |dv/dt|    |dp/dt|    k
0.0000   1.3305e-03 8.1880e+01 4.2228e+01 9.9918e-07 4605  
0.0005   2.5776e-03 7.6742e+01 3.8669e+01 9.9732e-07 3624  
0.0010   3.7470e-03 7.1964e+01 3.5450e+01 9.9851e-07 3604  
0.0015   4.8442e-03 6.7518e+01 3.2533e+01 9.9688e-07 3585  
0.0020   5.8741e-03 6.3380e+01 2.9889e+01 9.9904e-07 3565  
0.0025   6.8415e-03 5.9528e+01 2.7489e+01 9.9846e-07 3546  
0.0030   7.7505e-03 5.5941e+01 2.5309e+01 9.9841e-07 3527  
0.0035   8.6052e-03 5.2599e+01 2.3326e+01 9.9890e-07 3508  
0.0040   9.4093e-03 4.9485e+01 2.1521e+01 9.9994e-07 3489  
0.0045   1.0166e-02 4.6582e+01 1.9876e+01 9.9828e-07 3471  
0.0050   1.0879e-02 4.3875e+01 1.8375e+01 9.9719e-07 3453  
0.0055   1.1551e-02 4.1350e+01 1.7005e+01 9.9995e-07 3434  
0.0060   1.2185e-02 3.8994e+01 1.5752e+01 9.9676e-07 3417  
0.0065   1.2783e-02 3.6794e+01 1.4606e+01 9.9744e-07 3399  
0.0070   1.3347e-02 3.4740e+01 1.3557e+01 9.9873e-07 3381  
0.0075   1.3881e-02 3.2822e+01 1.2595e+01 9.9736e-07 3364  
0.0080   1.4385e-02 3.1029e+01 1.1712e+01 9.9989e-07 3346  
0.0085   1.4862e-02 2.9353e+01 1.1229e+01 9.9978e-07 3329  
0.0090   1.5313e-02 2.7785e+01 1.0942e+01 9.9702e-07 3313  
0.0095   1.5741e-02 2.6319e+01 1.0660e+01 9.9819e-07 3296  
0.0100   1.6146e-02 2.4946e+01 1.0384e+01 9.9673e-07 3280  
0.0105   1.6531e-02 2.3660e+01 1.0113e+01 9.9920e-07 3263  
0.0110   1.6896e-02 2.2456e+01 9.8484e+00 9.9906e-07 3247  
0.0115   1.7242e-02 2.1328e+01 9.5892e+00 9.9957e-07 3231  
0.0120   1.7572e-02 2.0270e+01 9.3357e+00 9.9748e-07 3216  
0.0125   1.7885e-02 1.9277e+01 9.0881e+00 9.9934e-07 3200  
0.0130   1.8183e-02 1.8346e+01 8.8462e+00 9.9859e-07 3185  
0.0135   1.8467e-02 1.7471e+01 8.6103e+00 9.9852e-07 3170  
0.0140   1.8738e-02 1.6650e+01 8.3801e+00 9.9913e-07 3155  
0.0145   1.8996e-02 1.5878e+01 8.1558e+00 9.9713e-07 3141  
0.0150   1.9242e-02 1.5152e+01 7.9372e+00 9.9909e-07 3126  
0.0155   1.9477e-02 1.4469e+01 7.7244e+00 9.9844e-07 3112  
0.0160   1.9702e-02 1.3827e+01 7.5172e+00 9.9848e-07 3098  
0.0165   1.9916e-02 1.3222e+01 7.3156e+00 9.9919e-07 3084  
0.0170   2.0122e-02 1.2652e+01 7.1196e+00 9.9730e-07 3071  
0.0175   2.0319e-02 1.2115e+01 6.9290e+00 9.9936e-07 3057  
