trial,N,dt,Re,alpha,t,h,MAE,Time
1,33,0.0005,100,1.5,22.09299999999386,0.0303030303030303,0.01925016087590399,204.50017714500427
2,65,0.0005,100,1.5,22.078499999993895,0.0153846153846154,0.01878835413977596,1116.8538136482239
3,129,0.0005,100,1.5,22.064499999993927,0.007751937984496124,0.018808642568113387,8063.256612300873
